State,Keyword,Status,Max. CPC,Clicks,Impressions,CTR,Avg. CPC,Cost,Avg. position
enabled,top 10 vegetarian restaurants,eligible,$1.50 ,0,1,0.00%,$0.00 ,$0.00 ,1
enabled,downtown philly restaurants,eligible,$1.50 ,0,36,0.00%,$0.00 ,$0.00 ,2.1
enabled,vegetarian restaurants in philly,eligible,$1.50 ,0,2,0.00%,$0.00 ,$0.00 ,2
enabled,vegan restaurant options,eligible,$1.50 ,0,1,0.00%,$0.00 ,$0.00 ,1
enabled,my vegan restaurant,eligible,$1.50 ,0,1,0.00%,$0.00 ,$0.00 ,1
enabled,"""vegan philly""",eligible,$1.50 ,0,12,0.00%,$0.00 ,$0.00 ,1
enabled,"""vegan philadelphia""",eligible,$1.50 ,1,47,2.13%,$1.30 ,$1.30 ,1.1
enabled,"""vegetarian philly""",eligible,$1.50 ,0,5,0.00%,$0.00 ,$0.00 ,1
enabled,vegetarian restaurants philly,eligible,$1.50 ,0,5,0.00%,$0.00 ,$0.00 ,1.8
enabled,vegan restaurants philly,eligible,$1.50 ,2,18,11.11%,$1.44 ,$2.88 ,1.3
enabled,vegan brunch philadelphia,eligible,$1.50 ,0,29,0.00%,$0.00 ,$0.00 ,1
enabled,vegetarian restaurants pa,eligible,$1.50 ,1,14,7.14%,$1.05 ,$1.05 ,1.7
enabled,philadelphia gluten free restaurants,eligible,$1.50 ,0,48,0.00%,$0.00 ,$0.00 ,1.9
enabled,vegan restaurant nj,eligible,$1.50 ,0,25,0.00%,$0.00 ,$0.00 ,1.3
enabled,vegetarian restaurant in philly,eligible,$1.50 ,0,2,0.00%,$0.00 ,$0.00 ,1.5
